extract_date,date_range,stay_length,dep_cost,ret_cost,total_cost
2022-08-23,Sun 18 to Mon 26,8,295,608,903
2022-08-23,Sun 18 to Tue 27,9,295,390,685
2022-08-23,Sun 18 to Wed 28,10,295,390,685
2022-08-23,Sun 18 to Thu 29,11,295,352,647
2022-08-23,Mon 19 to Mon 26,7,204,608,812
2022-08-23,Mon 19 to Tue 27,8,204,390,594
2022-08-23,Mon 19 to Wed 28,9,204,390,594
2022-08-23,Mon 19 to Thu 29,10,204,352,556
2022-08-23,Mon 19 to Fri 30,11,204,352,556
2022-08-23,Tue 20 to Tue 27,7,184,390,574
2022-08-23,Tue 20 to Wed 28,8,184,390,574
2022-08-23,Tue 20 to Thu 29,9,184,352,536
2022-08-23,Tue 20 to Fri 30,10,184,352,536
2022-08-23,Tue 20 to Sat 31,11,184,254,438
2022-08-23,Wed 21 to Wed 28,7,264,390,654
2022-08-23,Wed 21 to Thu 29,8,264,352,616
2022-08-23,Wed 21 to Fri 30,9,264,352,616
2022-08-23,Wed 21 to Sat 31,10,264,254,518
2022-08-23,Thu 22 to Thu 29,7,295,352,647
2022-08-23,Thu 22 to Fri 30,8,295,352,647
2022-08-23,Thu 22 to Sat 31,9,295,254,549
2022-08-23,Fri 23 to Fri 30,7,352,352,704
2022-08-23,Fri 23 to Sat 31,8,352,254,606
