extract_date,date_range,stay_length,dep_cost,ret_cost,total_cost
2022-08-05,Sun 18 to Mon 26,8,291,437,728
2022-08-05,Sun 18 to Tue 27,9,291,390,681
2022-08-05,Sun 18 to Wed 28,10,291,352,643
2022-08-05,Sun 18 to Thu 29,11,291,318,609
2022-08-05,Mon 19 to Mon 26,7,212,437,649
2022-08-05,Mon 19 to Tue 27,8,212,390,602
2022-08-05,Mon 19 to Wed 28,9,212,352,564
2022-08-05,Mon 19 to Thu 29,10,212,318,530
2022-08-05,Mon 19 to Fri 30,11,212,318,530
2022-08-05,Tue 20 to Tue 27,7,212,390,602
2022-08-05,Tue 20 to Wed 28,8,212,352,564
2022-08-05,Tue 20 to Thu 29,9,212,318,530
2022-08-05,Tue 20 to Fri 30,10,212,318,530
2022-08-05,Tue 20 to Sat 31,11,212,295,507
2022-08-05,Wed 21 to Wed 28,7,258,352,610
2022-08-05,Wed 21 to Thu 29,8,258,318,576
2022-08-05,Wed 21 to Fri 30,9,258,318,576
2022-08-05,Wed 21 to Sat 31,10,258,295,553
2022-08-05,Thu 22 to Thu 29,7,295,318,613
2022-08-05,Thu 22 to Fri 30,8,295,318,613
2022-08-05,Thu 22 to Sat 31,9,295,295,590
2022-08-05,Fri 23 to Fri 30,7,318,318,636
2022-08-05,Fri 23 to Sat 31,8,318,295,613
