extract_date,date_range,stay_length,dep_cost,ret_cost,total_cost
2022-08-21,Sun 18 to Mon 26,8,295,608,903
2022-08-21,Sun 18 to Tue 27,9,295,390,685
2022-08-21,Sun 18 to Wed 28,10,295,390,685
2022-08-21,Sun 18 to Thu 29,11,295,352,647
2022-08-21,Mon 19 to Mon 26,7,204,608,812
2022-08-21,Mon 19 to Tue 27,8,204,390,594
2022-08-21,Mon 19 to Wed 28,9,204,390,594
2022-08-21,Mon 19 to Thu 29,10,204,352,556
2022-08-21,Mon 19 to Fri 30,11,204,352,556
2022-08-21,Tue 20 to Tue 27,7,194,390,584
2022-08-21,Tue 20 to Wed 28,8,194,390,584
2022-08-21,Tue 20 to Thu 29,9,194,352,546
2022-08-21,Tue 20 to Fri 30,10,194,352,546
2022-08-21,Tue 20 to Sat 31,11,194,229,423
2022-08-21,Wed 21 to Wed 28,7,264,390,654
2022-08-21,Wed 21 to Thu 29,8,264,352,616
2022-08-21,Wed 21 to Fri 30,9,264,352,616
2022-08-21,Wed 21 to Sat 31,10,264,229,493
2022-08-21,Thu 22 to Thu 29,7,295,352,647
2022-08-21,Thu 22 to Fri 30,8,295,352,647
2022-08-21,Thu 22 to Sat 31,9,295,229,524
2022-08-21,Fri 23 to Fri 30,7,352,352,704
2022-08-21,Fri 23 to Sat 31,8,352,229,581
