extract_date,date_range,stay_length,dep_cost,ret_cost,total_cost
2022-08-04,Sun 18 to Mon 26,8,291,258,549
2022-08-04,Sun 18 to Tue 27,9,291,216,507
2022-08-04,Sun 18 to Wed 28,10,291,216,507
2022-08-04,Sun 18 to Thu 29,11,291,216,507
2022-08-04,Mon 19 to Mon 26,7,212,258,470
2022-08-04,Mon 19 to Tue 27,8,212,216,428
2022-08-04,Mon 19 to Wed 28,9,212,216,428
2022-08-04,Mon 19 to Thu 29,10,212,216,428
2022-08-04,Mon 19 to Fri 30,11,212,216,428
2022-08-04,Tue 20 to Tue 27,7,212,216,428
2022-08-04,Tue 20 to Wed 28,8,212,216,428
2022-08-04,Tue 20 to Thu 29,9,212,216,428
2022-08-04,Tue 20 to Fri 30,10,212,216,428
2022-08-04,Tue 20 to Sat 31,11,212,295,507
2022-08-04,Wed 21 to Wed 28,7,216,216,432
2022-08-04,Wed 21 to Thu 29,8,216,216,432
2022-08-04,Wed 21 to Fri 30,9,216,216,432
2022-08-04,Wed 21 to Sat 31,10,216,295,511
2022-08-04,Thu 22 to Thu 29,7,258,216,474
2022-08-04,Thu 22 to Fri 30,8,258,216,474
2022-08-04,Thu 22 to Sat 31,9,258,295,553
2022-08-04,Fri 23 to Fri 30,7,269,216,485
2022-08-04,Fri 23 to Sat 31,8,269,295,564
