Date,Open,High,Low,Close,Adj Close,Volume,Company
2022-02-22,3009.570068,3059.649902,2969.709961,3003.949951,3003.949951,3306400,AMZN
2022-02-23,3033.01001,3035.26001,2893.02002,2896.540039,2896.540039,3212200,AMZN
2022-02-24,2796.75,3034.97998,2790.0,3027.159912,3027.159912,5039300,AMZN
2022-02-25,3011.0,3079.800049,2984.27002,3075.77002,3075.77002,3119800,AMZN
2022-02-28,3048.5,3089.0,3017.0,3071.26001,3071.26001,2884200,AMZN
2022-03-01,3054.649902,3081.97998,2999.540039,3022.840088,3022.840088,2243700,AMZN
2022-03-02,3016.97998,3059.98999,2975.0,3041.050049,3041.050049,2366700,AMZN
2022-03-03,3070.629883,3078.580078,2937.120117,2957.969971,2957.969971,3259900,AMZN
2022-03-04,2943.179932,2957.0,2876.139893,2912.820068,2912.820068,3046700,AMZN
2022-03-07,2908.870117,2921.889893,2748.330078,2749.060059,2749.060059,4346700,AMZN
2022-03-08,2733.669922,2813.98999,2671.449951,2720.290039,2720.290039,4583100,AMZN
2022-03-09,2790.0,2805.0,2736.560059,2785.580078,2785.580078,4132800,AMZN
2022-03-10,2913.699951,2973.48999,2879.560059,2936.350098,2936.350098,6753100,AMZN
2022-03-11,2991.48999,2993.5,2907.379883,2910.48999,2910.48999,3445000,AMZN
2022-03-14,2919.620117,2949.0,2817.679932,2837.060059,2837.060059,3704300,AMZN
2022-03-15,2857.0,2959.699951,2840.0,2947.330078,2947.330078,3779200,AMZN
2022-03-16,2970.0,3063.0,2947.070068,3062.080078,3062.080078,4247900,AMZN
2022-03-17,3052.810059,3149.969971,3042.800049,3144.780029,3144.780029,3646700,AMZN
2022-03-18,3136.26001,3231.879883,3120.219971,3225.01001,3225.01001,5148100,AMZN
2022-03-21,3222.419922,3261.679932,3191.060059,3229.830078,3229.830078,3326900,AMZN
2022-03-22,3236.110107,3323.340088,3233.97998,3297.780029,3297.780029,3204300,AMZN
2022-03-23,3274.100098,3327.399902,3253.73999,3268.159912,3268.159912,2790600,AMZN
2022-03-24,3274.98999,3282.370117,3201.0,3272.98999,3272.98999,2839900,AMZN
2022-03-25,3280.0,3307.370117,3245.0,3295.469971,3295.469971,2451600,AMZN
2022-03-28,3299.5,3380.75,3298.0,3379.810059,3379.810059,2992700,AMZN
2022-03-29,3407.679932,3416.629883,3357.370117,3386.300049,3386.300049,3307700,AMZN
2022-03-30,3370.189941,3379.01001,3310.0,3326.02002,3326.02002,2808400,AMZN
2022-03-31,3328.899902,3329.899902,3259.070068,3259.949951,3259.949951,2998300,AMZN
2022-04-01,3282.98999,3316.540039,3246.389893,3271.199951,3271.199951,2854500,AMZN
2022-04-04,3282.5,3367.889893,3264.110107,3366.929932,3366.929932,2494100,AMZN
2022-04-05,3354.830078,3362.209961,3265.320068,3281.100098,3281.100098,2686400,AMZN
2022-04-06,3233.01001,3244.0,3145.090088,3175.120117,3175.120117,3952800,AMZN
2022-04-07,3168.0,3201.580078,3090.22998,3155.689941,3155.689941,3406800,AMZN
2022-04-08,3135.0,3147.370117,3084.620117,3089.209961,3089.209961,2300100,AMZN
2022-04-11,3054.26001,3082.72998,3010.689941,3022.439941,3022.439941,2605600,AMZN
2022-04-12,3073.850098,3101.97998,3007.659912,3015.75,3015.75,2758900,AMZN
2022-04-13,3000.370117,3120.5,2992.0,3110.820068,3110.820068,2669500,AMZN
2022-04-14,3107.800049,3117.939941,3029.439941,3034.129883,3034.129883,2579900,AMZN
2022-04-18,3030.469971,3080.790039,3005.01001,3055.699951,3055.699951,2325700,AMZN
2022-04-19,3040.590088,3172.97998,3031.01001,3162.310059,3162.310059,2746300,AMZN
2022-04-20,3152.050049,3152.050049,3072.070068,3079.959961,3079.959961,2981500,AMZN
2022-04-21,3094.280029,3134.76001,2951.790039,2965.919922,2965.919922,3198500,AMZN
2022-04-22,2965.0,2992.300049,2873.949951,2887.0,2887.0,3653900,AMZN
2022-04-25,2880.459961,2924.429932,2846.129883,2921.47998,2921.47998,3093700,AMZN
2022-04-26,2896.0,2897.120117,2778.590088,2787.820068,2787.820068,3876500,AMZN
2022-04-27,2803.830078,2838.969971,2715.669922,2763.340088,2763.340088,3566800,AMZN
2022-04-28,2843.560059,2918.75,2806.0,2891.929932,2891.929932,5865800,AMZN
2022-04-29,2596.97998,2615.219971,2432.5,2485.629883,2485.629883,13616500,AMZN
2022-05-02,2448.02002,2493.360107,2367.5,2490.0,2490.0,7439400,AMZN
2022-05-03,2481.070068,2524.409912,2456.5,2485.070068,2485.070068,3956700,AMZN
2022-05-04,2472.0,2520.0,2383.659912,2518.570068,2518.570068,5537300,AMZN
2022-05-05,2460.0,2469.97998,2301.449951,2328.139893,2328.139893,7219600,AMZN
2022-05-06,2297.0,2381.01001,2261.629883,2295.449951,2295.449951,6206700,AMZN
2022-05-09,2226.25,2280.0,2159.139893,2175.780029,2175.780029,6406200,AMZN
2022-05-10,2225.0,2252.850098,2143.419922,2177.179932,2177.179932,5271700,AMZN
2022-05-11,2162.070068,2203.120117,2088.570068,2107.439941,2107.439941,5485200,AMZN
2022-05-12,2055.0,2215.610107,2048.110107,2138.610107,2138.610107,6601300,AMZN
2022-05-13,2181.379883,2263.679932,2156.0,2261.100098,2261.100098,4676700,AMZN
2022-05-16,2262.0,2279.850098,2207.080078,2216.209961,2216.209961,3728300,AMZN
2022-05-17,2265.5,2316.0,2225.530029,2307.370117,2307.370117,3822400,AMZN
2022-05-18,2228.790039,2257.060059,2124.97998,2142.25,2142.25,5404100,AMZN
