Date,Open,High,Low,Close,Adj Close,Volume,Company
2022-02-22,2599.699951,2638.014893,2554.820068,2588.050049,2588.050049,1945300,GOOG
2022-02-23,2621.570068,2634.97998,2550.070068,2551.699951,2551.699951,1321600,GOOG
2022-02-24,2500.0,2660.73999,2495.290039,2653.469971,2653.469971,2158300,GOOG
2022-02-25,2670.51001,2707.780029,2635.300049,2690.389893,2690.389893,1311800,GOOG
2022-02-28,2665.689941,2712.810059,2656.504883,2697.820068,2697.820068,1483800,GOOG
2022-03-01,2689.600098,2722.219971,2667.570068,2683.360107,2683.360107,1232000,GOOG
2022-03-02,2692.165039,2712.310059,2668.649902,2695.030029,2695.030029,1198300,GOOG
2022-03-03,2719.570068,2734.275879,2668.620117,2686.159912,2686.159912,989000,GOOG
2022-03-04,2667.649902,2683.97998,2608.169922,2642.439941,2642.439941,1222300,GOOG
2022-03-07,2638.080078,2638.080078,2528.199951,2529.290039,2529.290039,1958900,GOOG
2022-03-08,2525.01001,2624.929932,2517.215088,2545.570068,2545.570068,1762500,GOOG
2022-03-09,2628.0,2683.969971,2601.76001,2677.320068,2677.320068,1612900,GOOG
2022-03-10,2629.25,2670.77002,2628.02002,2653.639893,2653.639893,1213300,GOOG
2022-03-11,2679.98999,2684.0,2605.929932,2609.51001,2609.51001,1330000,GOOG
2022-03-14,2611.459961,2620.52002,2528.26001,2534.820068,2534.820068,1512700,GOOG
2022-03-15,2554.830078,2610.344971,2531.360107,2593.209961,2593.209961,1514600,GOOG
2022-03-16,2620.0,2675.419922,2584.02002,2673.810059,2673.810059,1602900,GOOG
2022-03-17,2666.419922,2694.790039,2654.379883,2692.01001,2692.01001,1199700,GOOG
2022-03-18,2677.679932,2738.27002,2658.639893,2736.030029,2736.030029,2295000,GOOG
2022-03-21,2736.949951,2751.649902,2692.22998,2729.570068,2729.570068,1331600,GOOG
2022-03-22,2730.0,2830.0,2730.0,2805.550049,2805.550049,1488800,GOOG
2022-03-23,2782.77002,2800.5,2763.330078,2770.070068,2770.070068,1265100,GOOG
2022-03-24,2785.449951,2827.929932,2760.788086,2826.23999,2826.23999,1027200,GOOG
2022-03-25,2835.080078,2839.189941,2793.98999,2830.429932,2830.429932,963500,GOOG
2022-03-28,2813.689941,2839.530029,2796.562988,2839.0,2839.0,1188700,GOOG
2022-03-29,2863.209961,2883.25,2849.679932,2865.0,2865.0,1433900,GOOG
2022-03-30,2857.399902,2869.610107,2843.360107,2852.889893,2852.889893,1052300,GOOG
2022-03-31,2848.969971,2852.889893,2792.379883,2792.98999,2792.98999,1475800,GOOG
2022-04-01,2800.199951,2819.0,2775.939941,2814.0,2814.0,1174000,GOOG
2022-04-04,2816.48999,2880.875,2816.48999,2872.850098,2872.850098,953800,GOOG
2022-04-05,2867.98999,2871.800049,2818.870117,2821.26001,2821.26001,962800,GOOG
2022-04-06,2783.22998,2796.969971,2728.362061,2743.52002,2743.52002,1178700,GOOG
2022-04-07,2732.360107,2754.030029,2697.14502,2729.300049,2729.300049,972400,GOOG
2022-04-08,2725.0,2725.0,2675.050049,2680.209961,2680.209961,821700,GOOG
2022-04-11,2658.0,2658.783936,2592.350098,2595.929932,2595.929932,1209400,GOOG
2022-04-12,2648.469971,2648.469971,2551.52002,2567.48999,2567.48999,1150200,GOOG
2022-04-13,2572.530029,2613.11499,2568.771973,2605.719971,2605.719971,977100,GOOG
2022-04-14,2612.98999,2614.205078,2542.22998,2545.060059,2545.060059,1174200,GOOG
2022-04-18,2548.199951,2574.23999,2531.569092,2559.219971,2559.219971,745900,GOOG
2022-04-19,2561.540039,2618.074951,2549.030029,2610.620117,2610.620117,1136000,GOOG
2022-04-20,2625.679932,2638.469971,2557.881104,2564.909912,2564.909912,1130500,GOOG
2022-04-21,2587.0,2606.149902,2493.0,2498.75,2498.75,1507900,GOOG
2022-04-22,2500.0,2509.040039,2382.810059,2392.280029,2392.280029,2320500,GOOG
2022-04-25,2388.590088,2465.560059,2375.38501,2465.0,2465.0,1726100,GOOG
2022-04-26,2455.0,2455.0,2383.237061,2390.120117,2390.120117,2469700,GOOG
2022-04-27,2287.459961,2350.0,2262.485107,2300.409912,2300.409912,3111900,GOOG
2022-04-28,2342.300049,2408.77002,2302.87793,2388.22998,2388.22998,1839500,GOOG
2022-04-29,2351.560059,2379.199951,2293.879883,2299.330078,2299.330078,1683500,GOOG
2022-05-02,2278.129883,2346.790039,2267.98999,2343.139893,2343.139893,1514000,GOOG
2022-05-03,2335.300049,2386.0,2332.540039,2362.590088,2362.590088,1060800,GOOG
2022-05-04,2360.070068,2462.860107,2314.77002,2451.5,2451.5,1661600,GOOG
2022-05-05,2404.409912,2424.665039,2303.649902,2334.929932,2334.929932,2154500,GOOG
2022-05-06,2310.379883,2349.969971,2282.860107,2313.199951,2313.199951,1764000,GOOG
2022-05-09,2266.070068,2311.258057,2251.030029,2261.679932,2261.679932,1726000,GOOG
2022-05-10,2320.810059,2333.820068,2267.666016,2291.689941,2291.689941,1557900,GOOG
2022-05-11,2274.209961,2333.419922,2273.0,2279.219971,2279.219971,1825100,GOOG
2022-05-12,2238.76001,2297.129883,2202.27002,2263.219971,2263.219971,2073200,GOOG
2022-05-13,2296.909912,2361.699951,2280.0,2330.310059,2330.310059,1486000,GOOG
2022-05-16,2307.679932,2332.149902,2286.699951,2295.850098,2295.850098,1164100,GOOG
2022-05-17,2344.550049,2344.550049,2306.75,2334.030029,2334.030029,1078800,GOOG
2022-05-18,2304.75,2313.913086,2242.840088,2248.02002,2248.02002,1395300,GOOG
